boarding_gate,lng,lat
9,102.9236602,25.1022575
11,102.9232872,25.1025155
13,102.9228692,25.1028135
14,102.9228422,25.1030675
12,102.9233362,25.1031695
10,102.9238932,25.1027735
8,102.9243962,25.1024135
7,102.9248317,25.10212033
6,102.9252457,25.10182233
5,102.9257167,25.10151133
2,102.9265117,25.10128633
1,102.9274531,25.10113074
15,102.9281581,25.10139674
17,102.9287651,25.10191574
25,102.9292047,25.10242964
27,102.9295557,25.10285864
46,102.9298247,25.10358664
47,102.9297707,25.10413864
49,102.9295417,25.10469064
51,102.9293707,25.10507964
53,102.9291957,25.10549264
55,102.9290117,25.10588164
57,102.9288187,25.10624564
59,102.9286027,25.10656464
62,102.9286567,25.10683364
60,102.9288047,25.10690764
58,102.9290077,25.10700164
56,102.9293487,25.10671964
54,102.9294837,25.10622864
52,102.9296767,25.10571364
50,102.9298917,25.10522264
48,102.9301567,25.10462564
32,102.9322097,25.10345964
34,102.9327887,25.10338664
36,102.9333187,25.10333764
38,102.9339347,25.10331264
40,102.9343517,25.10333364
44,102.9345637,25.10309964
45,102.9344827,25.10281764
43,102.9344057,25.10258464
41,102.9341817,25.10263364
39,102.9337817,25.10272764
37,102.9333547,25.10280564
35,102.9328877,25.10287964
33,102.9324707,25.10291964
31,102.9319987,25.10297764
30,102.9315317,25.10303864
29,102.9309657,25.10303464
28,102.9302967,25.10279364
26,102.9297437,25.10227364
18,102.9294161,25.10188774
16,102.9289351,25.10128674
64,102.9287061,25.10058274
65,102.9287511,25.09984674
68,102.9291641,25.09896674
69,102.9295421,25.09863974
70,102.9300091,25.09830874
71,102.9304171,25.09801374
73,102.9309251,25.09764574
75,102.9314861,25.09725374
77,102.9317781,25.09693474
78,102.9314281,25.09659874
76,102.9310191,25.09688974
74,102.9306511,25.09715074
72,102.9302781,25.09741674
4,102.9268037,25.10125333
3,102.9271301,25.10108574
19,102.9288951,25.10203874
21,102.9293447,25.10257664
23,102.9296857,25.10305064
24,102.9298927,25.10244964
22,102.9295777,25.10207364
20,102.9291641,25.10157274
66,102.9288371,25.09953974
67,102.9289981,25.09918774
