aflightno,dflightno,flightnum,atime,dtime,para,mdl,gate,nation,apassenger,dpassenger
UW9970,UW9901,B2325,2057(01),0838(02),,A306/D,720,,100,100
O36944,O36943,B2817,0825(01),0144(02),,B757/D,330,,100,100
CF9018,CF9017,B2892,0834(01),0000(02),,734/C,329,,100,100
MU9742,MU5845,B5816,2137(01),0922(02),,B737/C,715,,5,85
MU9731,MU5987,B5819,1353(01),0835(02),,B737/C,126,,88,51
KY8258,KY8341,B2669,2009(01),0929(02),,B737/C,723,,74,97
MU5830,MU5078,B1862,1431(01),0725(02),,A320/C,316,,95,28
3U8818,3U8817,B6455,1842(01),0743(02),,319/C,537,,60,58
MU5714,MU5835,B7599,1912(01),0911(02),,B738/C,505,,89,64
8L9956,8L9973,B6800,1923(01),0718(02),,B738/C,322,,151,185
8L9858,8L9801,B5810,1738(01),0003(02),,73G/C,531,,133,123
MU2594,MU745,B6249,1858(01),0846(02),,B738/C,509,,100,92
MU9737,MU9755,B5243,2146(01),0846(02),,B737/C,131,,93,41
MU742,MU5841,B5527,1854(01),0809(02),,B738/C,507,,100,104
MU5870,MU5873,B2639,1927(01),0837(02),,73G/C,511,,110,56
MU5744,MU5775,B7600,1907(01),0959(02),,B738/C,508,,63,119
MU2032,MU2595,B6149,1938(01),0647(02),,B738/C,109,,100,180
MU5818,MU2589,B1789,2132(01),0816(02),,B738/C,110,,100,100
MU5850,MU5861,B7592,2030(01),0828(02),,B738/C,317,,129,133
3U8216,3U8553,B1662,2040(01),0903(02),,320/C,521R,,135,122
MU5970,MU5961,B5270,2100(01),0848(02),,B737/C,514,,30,58
ZH9455,ZH9790,B6615,2205(01),0950(02),,320/C,523L,,135,122
MU2765,MU2996,B6930,2126(01),0756(02),,320/C,123,,87,102
8L9903,8L9849,B5825,2142(01),0709(02),,B737/C,168,,137,129
KY8342,KY8219,B5025,2256(01),0009(02),,B737/C,137,,131,132
DR6578,DR6509,B5830,2114(01),0849(02),,B737/C,713,,5,125
3U8244,3U8929,B6323,2238(01),0817(02),,320/C,533,,154,115
MU5822,MU5817,B5795,2218(01),0957(02),,B738/C,133,,31,121
MU555,MU555,B1861,2222(01),0007(02),,320/C,105,,107,125
3U8528,3U8513,B6956,2144(01),0730(02),,A320/C,328,,136,148
MU5914,MU5901,B5271,2233(01),0841(02),,B737/C,121,,120,107
KY8362,KY8295,B7089,2129(01),0713(02),,B738/C,112,,100,99
MU5840,MU5761,B7589,2214(01),0946(02),,B738/C,132,,92,133
MU5733,MU5957,B6142,2357(01),0944(02),,B737/C,127,,120,51
MU5884,MU5706,B5242,2207(01),0011(02),,B737/C,120,,115,86
8L9980,8L9965,B5971,2153(01),0741(02),,A333/E,163,,255,244
MU5810,MU5731,B6759,2321(01),0811(02),,A320/C,118,,136,68
CA4417,CA4175,B6915,2157(01),0737(02),,320/C,146,,101,117
GJ8872,GJ8662,B1868,2231(01),0744(02),,320/C,524L,,61,53
ZH9415,ZH9416,B5775,2209(01),0857(02),,B738/C,145,,146,140
3U8762,3U8947,B1883,2326(01),0712(02),,320/C,154,,118,114
8L9892,8L9583,B5732,2242(01),0029(02),,B738/C,111,,159,100
KY8282,KY8283,B5672,2226(01),0747(02),,B738/C,138,,141,141
ZH9451,ZH9452,B5773,2220(01),0920(02),,B738/C,142,,148,130
8L9936,8L9945,B1563,2243(01),0013(02),,B737/C,159,,126,120
UW9946,UW9941,B2330,2319(01),0124(02),,A306/D,520,,100,100
MU5930,MU5945,B5282,2224(01),0826(02),,B737/C,125,,21,111
MU5455,MU2591,B6758,2332(01),0127(02),,320/C,102,,88,100
MU5804,MU5799,B5809,2253(01),0857(02),,B737/C,114,,111,50
MU5986,MU5925,B5263,2239(01),0751(02),,B737/C,711,,80,82
3U8667,3U8865,B1661,2216(01),0730(02),,320/C,532,,129,146
MU2586,MU5941,B5097,2237(01),0940(02),,B737/C,101,,100,91
KY8234,KY8261,B6495,2254(01),0705(02),,B738/C,136,,101,124
KY8206,KY8205,B2667,2301(01),0917(02),,B737/C,525L,,89,109
MU2995,MU2766,B1655,0219(02),0935(02),,320/C,134,,116,93
MU5786,MU5921,B5276,2307(01),0715(02),,B737/C,122,,52,113
3U8620,3U8129,B6442,2248(01),0925(02),,319/C,324,,99,123
CA4459,CA4171,B6916,2251(01),0903(02),,A320/C,143,,76,128
CZ8509,CZ8510,B6583,2310(01),0822(02),,320/C,135,,29,72
MU2264,MU5821,B1908,2250(01),0845(02),,B738/C,124,,92,54
KY8298,KY8297,B5702,2257(01),0949(02),,B738/C,526L,,59,80
KY8210,KY8315,B7871,2303(01),0946(02),,B737/C,524R,,127,125
8L9712,8L9959,B7988,2312(01),0734(02),,B738/C,161,,77,72
SC8885,SC8885,B1745,2316(01),0057(02),,B738/C,103,,79,100
8L9748,8L9595,B7167,0006(02),0901(02),,B738/C,104,,100,100
MU5932,MU5985,B5822,2329(01),0908(02),,B737/C,117,,103,22
8L9972,8L9893,B6198,2331(01),0736(02),,A319/C,165,,113,128
MU5846,MU5931,B5807,2325(01),0806(02),,B737/C,119,,79,119
MF8429,MF8430,B5355,2345(01),0832(02),,738/C,326,,140,111
MU5972,MU5903,B5802,0002(02),0931(02),,B737/C,115,,92,112
KY8302,KY8235,B6493,2341(01),0820(02),,B738/C,151,,122,146
DR6524,DR6577,B6110,2337(01),0727(02),,B737/C,157,,136,23
HO1651,HO1094,B6901,0310(02),0800(02),,320/C,724,,116,124
CZ3419,CZ3420,B6289,2333(01),0803(02),,320/C,522R,,114,94
DR6534,DR6529,B7866,2351(01),0746(02),,B738/C,158,,176,105
KY8266,KY8253,B6492,0017(02),0817(02),,B738/C,139,,152,156
VN736,VN737,VNA357,0043(02),0210(02),,A321/C,108,,100,167
KY8334,KY8321,B6491,2352(01),0832(02),,B738/C,141,,115,131
SC8844,SC8843,B7805,0000(02),0700(02),,738/C,722A,,157,136
QW9855,QW9856,B8430,0019(02),0650(02),,320/C,137,,28,22
CZ3542,CZ3541,B1737,0010(02),0810(02),,B738/C,325,,125,120
3U8246,3U8767,B8499,0059(02),0702(02),,320/C,152,,125,78
DR6538,DR6533,B7865,0006(02),0741(02),,B738/C,535,,150,169
KY8240,KY8255,B7870,0116(02),0910(02),,B737/C,523R,,111,80
GJ8661,GJ8689,B1869,0122(02),0813(02),,320/C,318,,51,147
DR6522,DR6569,B1593,0032(02),0728(02),,B738/C,155,,155,161
MU2785,MU2726,B8228,0030(02),0843(02),,320/C,126,,141,132
HO1093,HO1652,B6922,0045(02),0718(02),,A320/C,722B,,149,107
MU5902,MU5943,B5295,0023(02),0801(02),,B737/C,120,,102,101
DR6592,DR6521,B1960,0035(02),0720(02),,B738/C,534,,140,166
8L9884,8L9861,B5359,0143(02),0750(02),,B738/C,160,,132,149
KY8250,KY8313,B5026,0140(02),0927(02),,B737/C,144,,123,128
KY8232,KY8251,B7872,0025(02),0805(02),,B737/C,526R,,118,120
KY8248,KY8229,B2679,0037(02),0957(02),,B737/C,540,,132,130
8L9890,8L9865,B1825,0111(02),0723(02),,A320/C,166,,167,131
MU5913,MU5891,B5828,0049(02),0812(02),,B737/C,714,,112,79
MU5912,MU5807,B5267,0101(02),0803(02),,B737/C,712,,109,66
DR5316,DR6507,B5829,0022(02),0920(02),,B737/C,150,,38,125
HU7311,HU7312,B1728,0051(02),0733(02),,738/C,327,,149,149
8L9690,8L9863,B2677,0120(02),0710(02),,B738/C,164,,137,107
DR6560,DR6591,B1595,0048(02),0652(02),,B738/C,531,,128,179
8L9974,8L9655,B7993,0107(02),0611(02),,B738/C,167,,173,0
8L9984,8L9873,B8445,0057(02),0708(02),,A320/C,159,,169,143
CA4174,CA4418,B1853,0215(02),0855(02),,320/C,329,,135,113
MU5814,MU5801,B7591,0103(02),0828(02),,B738/C,128,,135,121
3U8824,3U8847,B1885,0054(02),0804(02),,320/C,147,,150,131
8L9911,8L9941,B5272,0113(02),0648(02),,73G/C,315,,115,110
3U8968,3U8669,B8657,0056(02),0730(02),,320/C,149,,105,129
3U8108,3U8917,B6325,0241(02),0619(02),,320/C,153,,128,154
A67108,A67105,B8285,0105(02),0953(02),,A321/C,719,,172,191
8L9986,8L9647,B7989,0114(02),0733(02),,B738/C,314,,58,85
DR6512,DR6515,B5812,0136(02),0734(02),,B737/C,156,,115,36
8L9870,8L9887,B1798,0134(02),0845(02),,B738/C,113,,174,22
MU556,MU556,B1861,0546(02),0818(02),,320/C,111,,100,131
SC8886,SC8886,B1745,0601(02),0741(02),,B738/C,108,,100,98
MU5078,MU5829,B1610,0537(02),0850(02),,320/C,107,,100,142
MU774,MU756,B5930,0737(02),0937(02),,A33E/E,106,,100,158
8L9905,8L9910,B5248,0744(02),0855(02),,B737/C,159,,114,139
PN6393,PN6393,B9969,0740(02),0905(02),,320/C,167,,119,119
8L9802,8L9841,B6221,0800(02),0933(02),,A319/C,166,,125,95
EU2223,EU2721,B6229,0752(02),0932(02),,319/C,153,,117,28
MU5449,MU5464,B8391,0830(02),0956(02),,A320/C,122,,130,53
OQ2327,OQ2328,B2345,0820(02),0959(02),,320/C,157,,149,160
8L9886,8L9947,B5409,0007(02),1043(02),,B738/C,519L,,121,172
KY8270,KY8245,B2678,0040(02),1336(02),,B737/C,525R,,123,126
MU5708,MU5703,B6145,0028(02),1338(02),,B738/C,515,,138,103
MU5848,MU5713,B6146,0004(02),1033(02),,B738/C,116,,41,131
MU748,MU5743,B1702,0034(02),1346(02),,B738/C,510,,109,73
8L9872,8L9891,B6016,0041(02),1023(02),,B738/C,162,,115,170
MU5772,MU5927,B5820,0027(02),1030(02),,B737/C,130,,101,30
8L9676,8L9623,B8446,0054(02),1105(02),,A320/C,323,,100,168
MU5922,MU5915,B5255,0039(02),1019(02),,B737/C,702,,100,103
8L9946,8L9921,B1565,0110(02),1138(02),,B737/C,541,,128,93
MU778,MU5705,B5921,0541(02),1717(02),,A33E/E,520,,100,180
MU756,MU773,B5926,0647(02),0221(03),,A33E/E,105,,100,100
8L9584,8L9689,B5732,0806(02),1354(02),,B738/C,112,,100,170
MU2592,MU5456,B6758,0757(02),1002(02),,320/C,109,,100,128
MU5747,MU5973,B5242,0826(02),1040(02),,B737/C,118,,79,117
3U8638,3U8205,B1819,0835(02),1721(02),,A320/C,542,,152,144
8L9556,8L9651,B5449,0842(02),1007(02),,B738/C,160,,167,166
8L9994,8L9855,B7990,0813(02),1602(02),,B738/C,537,,182,102
CF9018,CF9017,B2656,0844(02),0005(03),,733/C,322,,100,100
MU5852,MU5759,B7590,0837(02),1015(02),,B738/C,123,,32,117
3U8661,3U8245,B1887,0831(02),1811(03),,320/C,534,,141,141
MU2567,MU2597,B5756,0925(02),1502(02),,B738/C,103,,140,100
BK2797,BK2715,B1963,0839(02),1025(02),,B738/C,149,,159,125
KY8286,KY8273,B1926,0921(02),1031(02),,B738/C,136,,143,146
CA415,CA415,B6014,0852(02),1046(02),,319/C,102,,55,100
8L9856,8L9869,B7991,0932(02),1430(02),,B738/C,168,,172,170
MU2359,MU2360,B9942,0904(02),1034(02),,320/C,119,,106,95
CZ3481,CZ3481,B6409,0936(02),1046(02),,319/C,137,,78,60
MU5764,MU5811,B1791,0909(02),1221(02),,B738/C,128,,80,118
MU2249,MU2250,B2209,0856(02),1051(02),,A320/C,126,,118,113
HU7087,HU7088,B1726,0934(02),1051(02),,738/C,161,,119,124
MU2495,MU2496,B5199,0915(02),1038(02),,738/C,316,,126,92
MU2756,MU2756,B6472,0928(02),1055(02),,A319/C,124,,73,92
8L9652,8L9991,B1588,0919(02),1229(02),,B738/C,165,,175,68
SC8829,SC8829,B1511,0923(02),1110(02),,738/C,108,,81,100
MU5469,MU5470,B9900,0918(02),1118(02),,320/C,125,,143,101
SC4769,SC4770,B1743,0939(02),1131(02),,B738/C,138,,154,85
QV815,QV816,RDPL34223,0945(02),1102(02),,A320/C,111,,100,100
KN2381,KN5212,B1753,0929(02),1121(02),,738/C,315,,153,79
8L9988,8L9805,B6959,0931(02),1415(02),,A320/C,326,,140,166
MU5711,MU5963,B5265,0948(02),1059(02),,B737/C,117,,62,73
8L9850,8L9857,B5825,0942(02),1355(02),,B737/C,325,,103,137
MU2143,MU5462,B5258,0952(02),1149(02),,B737/C,131,,109,99
