,code,province,city,district
0,1,北京,城区,北京
1,2,北京,朝阳,朝阳
2,3,北京,顺义,顺义
3,4,北京,怀柔,怀柔
4,5,北京,通州,通州
5,6,北京,昌平,昌平
6,7,北京,延庆,延庆
7,8,北京,丰台,丰台
8,9,北京,石景山,石景山
9,10,北京,大兴,大兴
10,11,北京,房山,房山
11,12,北京,密云,密云
12,13,北京,门头沟,门头沟
13,14,北京,平谷,平谷
14,22,北京,海淀,海淀
15,23,天津,城区,天津
16,24,天津,宝坻,宝坻
17,25,天津,东丽,东丽
18,26,天津,西青,西青
19,27,天津,北辰,北辰
20,28,天津,蓟州,蓟州
21,29,天津,和平,和平
22,30,天津,静海,静海
23,31,天津,津南,津南
24,32,天津,滨海新区,滨海新区
25,33,天津,河东,河东
26,34,天津,武清,武清
27,35,天津,宁河,宁河
28,36,上海,城区,上海
29,37,上海,宝山,宝山
30,38,上海,嘉定,嘉定
31,39,上海,浦东新区,浦东新区
32,40,上海,浦东新区,浦东新区
33,41,上海,青浦,青浦
34,42,上海,松江,松江
35,43,上海,奉贤,奉贤
36,44,上海,崇明,崇明
37,45,上海,徐汇,徐汇
38,46,上海,闵行,闵行
39,47,上海,金山,金山
40,48,河北,石家庄,石家庄
41,49,河北,张家口,张家口
42,50,河北,承德,承德
43,51,河北,唐山,唐山
44,52,河北,秦皇岛,秦皇岛
45,53,河北,沧州,沧州
46,54,河北,衡水,衡水
47,55,河北,邢台,邢台
48,56,河北,邯郸,邯郸
49,57,河北,保定,保定
50,58,河北,廊坊,廊坊
51,59,河南,郑州,郑州
52,60,河南,新乡,新乡
53,61,河南,许昌,许昌
54,62,河南,平顶山,平顶山
55,63,河南,信阳,信阳
56,64,河南,南阳,南阳
57,65,河南,开封,开封
58,66,河南,洛阳,洛阳
59,67,河南,商丘,商丘
60,68,河南,焦作,焦作
61,69,河南,鹤壁,鹤壁
62,70,河南,濮阳,濮阳
63,71,河南,周口,周口
64,72,河南,漯河,漯河
65,73,河南,驻马店,驻马店
66,74,河南,三门峡,三门峡
67,75,河南,济源,济源
68,76,河南,安阳,安阳
