,index,start_point,end_point,time,timeBeChoosed
0,0,325,325,"[0, 90, 84, 60, 149, 59, 89, 119, 87, 328, 138, 389, 234, 68, 70, 29, 61, 960, 41, 100, 157, 922, 121, 113, 330]",0.0
1,1,324,324,"[0, 30, 119, 60, 53, 59, 135, 268, 126, 96, 149, 46, 29, 89, 209, 64, 63, 40, 90, 33, 43, 192, 117, 120, 150, 179, 1, 449, 508, 269, 35, 180, 62, 330, 85, 58, 7, 68, 22, 74, 75, 239, 166, 69, 91, 390, 8, 61, 56, 152, 178, 26, 326, 118, 1144, 226, 38, 235, 52]",0.0
2,2,324,b25,"[269, 209, 270, 237, 179, 210, 150, 178, 30933, 288]",179.0
3,3,b25,b25,"[0, 90, 133, 445, 80, 113, 30, 59, 119, 29, 117, 60]",0.0
4,4,b38,b38,"[0, 60, 59, 30]",0.0
5,5,b38,b45,"[30, 2652, 89]",30.0
6,6,b38,b56,"[149, 1181]",149.0
7,7,b38,b27,"[216, 179, 130, 537, 120, 90]",105.0
8,8,b38,b19,"[239, 150, 117, 90]",103.5
9,9,b45,b45,"[0, 448, 209, 60, 120, 179, 59, 37, 90]",0.0
10,10,b45,b56,"[119, 448]",119.0
11,11,b45,b27,"[186, 149, 450]",149.0
12,12,b45,b19,"[209, 120, 119, 369, 89, 90]",89.5
13,13,b56,b56,"[0, 60, 62, 46]",0.0
14,14,b56,b27,"[67, 59, 479, 9315, 60, 68]",59.5
15,15,b56,b19,"[90, 119, 89]",89.0
16,16,b27,b27,"[0, 2117, 89, 60, 29, 268, 209]",0.0
17,17,b27,b19,"[23, 30, 21, 60]",22.0
18,18,b19,b19,"[0, 318, 1271, 953, 4901, 1494, 1014, 329, 309, 60, 2690, 328]",0.0
19,19,b29,b29,"[0, 59, 60, 1678, 30, 69, 420, 102, 274]",0.0
20,20,b29,b44,"[82, 60, 67, 179, 58, 59, 64, 119, 89, 56, 62, 52, 228]",56.25
21,21,b44,b44,"[0, 112, 30, 60, 59, 63, 52, 90, 150, 179, 120, 81, 77]",0.0
22,22,b12,b12,"[0, 210, 60, 59, 149, 30, 2930, 31, 76, 38, 90, 419, 92]",0.0
23,23,b12,b20,"[89, 269, 448, 1718, 1658, 90, 1712, 149, 119, 150, 120, 1460, 720]",104.5
24,24,b12,b43,"[179, 178, 148, 149]",148.5
25,25,b20,b20,"[0, 329, 60]",0.0
26,26,b20,b43,"[90, 89, 387, 75, 390]",82.0
27,27,b43,b43,"[0, 60, 441, 1129, 693, 68, 21, 1632]",0.0
28,28,537,537,"[0, 80, 52, 60, 185, 144, 59, 90, 29, 69, 149, 760]",0.0
